algorithm,seed,position_rmse,best_hypothesis_rmse,mean_truth_consistent_flock_weight,decision_loss,mean_decision_base_error,selection_rate,mixture_rate,abstention_rate,investigation_rate,wrong_mode_rate,wrong_mode_action_rate,mean_output_confidence,ambiguity_resolution_steps,agent_position_rmse,mean_nees,coverage95_rate,mean_nis,information_gain,spatial_diversity,estimate_disagreement,mean_operational_agents,mean_delivery_ratio,mean_message_age,partition_active_rate,recovery_steps,messages,bytes_sent,mean_momentum,mean_momentum_change_score,mean_momentum_corroborating_agents,mean_momentum_biased_agents,momentum_fallback_rate,momentum_change_events,mean_hypothesis_flocks,multiflock_rate,mean_primary_flock_size,mean_primary_flock_weight,mean_alternative_flock_weight,mean_quarantined_agents,quarantine_rate,mean_suspected_bias_agents,mean_bias_estimate_norm,movement_distance,scenario,rho,rho_label,tau,scenario_timescale,runtime_seconds,tau_to_timescale
flocking_fixed_momentum,8020,0.6846661093433015,0.6846661093433015,1.0,0.6161900882205458,0.6161900882205458,1.0,0.0,0.0,0.0,0.0,0.0,1.0,,0.6838594398852788,1.6098283657249168,0.9796875,1.7483066107991867,3.5621742528538247,4.810322118175799,0.5653829937602893,8.0,1.0,0.0,0.0,,3840,737280,0.0,0.0,0.0,0.0,0.0,0,1.0,0.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,130.8599003891781,no_change,0.0,rho_0_00,0.0,160.0,6.14892016700469,0.0
flocking_fixed_momentum,8021,0.7063262959732224,0.7063262959732224,1.0,0.6291819730989556,0.6291819730989556,1.0,0.0,0.0,0.0,0.0,0.0,1.0,,0.717901576368486,1.5650666709744372,0.9796875,1.6664620381721398,3.43296651782414,4.889540215379273,0.57033020912722,8.0,1.0,0.0,0.0,,3840,737280,0.0,0.0,0.0,0.0,0.0,0,1.0,0.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,183.0055346513812,no_change,0.0,rho_0_00,0.0,160.0,6.774106667144224,0.0
flocking_fixed_momentum,8022,0.6534634268507238,0.6534634268507238,1.0,0.5808523481103937,0.5808523481103937,1.0,0.0,0.0,0.0,0.0,0.0,1.0,,0.7068542596406704,1.6683403371575374,0.97734375,1.6903761410393305,3.524149515707154,4.8577187091344545,0.5878486304606396,8.0,1.0,0.0,0.0,,3840,737280,0.0,0.0,0.0,0.0,0.0,0,1.0,0.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,142.05817247429516,no_change,0.0,rho_0_00,0.0,160.0,6.8734667911194265,0.0
flocking_fixed_momentum,8023,0.7174881568295366,0.7174881568295366,1.0,0.6167321837433288,0.6167321837433288,1.0,0.0,0.0,0.0,0.0,0.0,1.0,,0.7365059584101966,1.7799354803501415,0.95,1.8058273946063814,3.4764472437701004,4.910372198364399,0.581480831593819,8.0,1.0,0.0,0.0,,3840,737280,0.0,0.0,0.0,0.0,0.0,0,1.0,0.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,168.55538742741263,no_change,0.0,rho_0_00,0.0,160.0,6.569768625078723,0.0
flocking_fixed_momentum,8024,0.7402051729586429,0.7402051729586429,1.0,0.6592947277916019,0.6592947277916019,1.0,0.0,0.0,0.0,0.0,0.0,1.0,,0.7300623591585115,1.7085790796989806,0.971875,1.7028017892289227,3.478652049137908,4.900283051207586,0.5707865209006011,8.0,1.0,0.0,0.0,,3840,737280,0.0,0.0,0.0,0.0,0.0,0,1.0,0.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,172.8885455992416,no_change,0.0,rho_0_00,0.0,160.0,6.813151750015095,0.0
flocking_fixed_momentum,8025,0.6835750014836848,0.6835750014836848,1.0,0.6083096934506959,0.6083096934506959,1.0,0.0,0.0,0.0,0.0,0.0,1.0,,0.7090876442951294,1.7502652872574616,0.959375,1.7081241776199232,3.592021006069383,4.8751825729957154,0.5640084503746691,8.0,1.0,0.0,0.0,,3840,737280,0.0,0.0,0.0,0.0,0.0,0,1.0,0.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,130.00221080146983,no_change,0.0,rho_0_00,0.0,160.0,6.567727874964476,0.0
flocking_fixed_momentum,8026,0.7208721302325022,0.7208721302325022,1.0,0.6324365579455543,0.6324365579455543,1.0,0.0,0.0,0.0,0.0,0.0,1.0,,0.7454115395826916,1.651524907345316,0.96328125,1.6443119213997992,3.4127632552030347,4.902184256550265,0.5586661197582625,8.0,1.0,0.0,0.0,,3840,737280,0.0,0.0,0.0,0.0,0.0,0,1.0,0.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,183.30832062721683,no_change,0.0,rho_0_00,0.0,160.0,6.162214125040919,0.0
flocking_fixed_momentum,8027,0.7466723071063525,0.7466723071063525,1.0,0.6351822388169831,0.6351822388169831,1.0,0.0,0.0,0.0,0.0,0.0,1.0,,0.7580652226945698,1.669680494794146,0.959375,1.6565332586209809,3.413069574735887,4.895327319694239,0.5801041415378902,8.0,1.0,0.0,0.0,,3840,737280,0.0,0.0,0.0,0.0,0.0,0,1.0,0.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,178.37987758104373,no_change,0.0,rho_0_00,0.0,160.0,6.430233167018741,0.0
flocking_fixed_momentum,8028,0.7140154880605015,0.7140154880605015,1.0,0.6366183997130183,0.6366183997130183,1.0,0.0,0.0,0.0,0.0,0.0,1.0,,0.6993659765656383,1.773803997190086,0.9609375,1.691987272406783,3.6524358744128085,4.903309567579208,0.45077656938137445,8.0,1.0,0.0,0.0,,3840,737280,0.0,0.0,0.0,0.0,0.0,0,1.0,0.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,134.34888962579808,no_change,0.0,rho_0_00,0.0,160.0,6.064192624995485,0.0
flocking_fixed_momentum,8029,0.7244821244625125,0.7244821244625125,1.0,0.6479444700997625,0.6479444700997625,1.0,0.0,0.0,0.0,0.0,0.0,1.0,,0.7268461881435684,1.7367233334178738,0.97578125,1.679497074841052,3.4878781879153555,4.865241615389765,0.5520536104397353,8.0,1.0,0.0,0.0,,3840,737280,0.0,0.0,0.0,0.0,0.0,0,1.0,0.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,149.00744237241122,no_change,0.0,rho_0_00,0.0,160.0,6.84139550011605,0.0
