scenario,rho,rho_label,seed,rmse_improvement,diversity_change,disagreement_change,information_change,movement_change
abrupt_change,0.93,rho_0_93,8008,0.08226678275269084,-0.09307364913264937,-0.22565878200297457,0.34118289079206354,16.84159875452505
abrupt_change,0.93,rho_0_93,8009,0.07361506179737298,-0.10009150946812628,-0.23128787607028162,0.38950819974411344,21.769020077804612
abrupt_change,0.93,rho_0_93,8010,0.039725428337681445,-0.10889539614039467,-0.2398764747746705,0.25597517412021364,14.098917138758992
abrupt_change,0.93,rho_0_93,8011,0.1205793269843729,-0.13905542503096235,-0.20534326700887973,0.3206792924000723,1.164793957447955
abrupt_change,0.93,rho_0_93,8012,0.13911448719022168,-0.07407702598846022,-0.2247548353218779,0.41043819857507335,15.145269528267505
abrupt_change,0.93,rho_0_93,8013,0.15367662137016813,-0.13513540851115025,-0.2564599638120127,0.3933072614815174,9.83285964148638
abrupt_change,0.93,rho_0_93,8014,0.07140318073002849,-0.12257126222945569,-0.283591563050004,0.4538569984835532,15.81243189438797
abrupt_change,0.93,rho_0_93,8015,0.03151049249593241,-0.1052528823062433,-0.24300390762345475,0.2938217195441162,15.203234433549966
abrupt_change,0.93,rho_0_93,8016,0.1259628450053778,-0.03895957495452684,-0.37401362011458816,0.3327344815061992,5.085512502965599
abrupt_change,0.93,rho_0_93,8017,0.20149123623813447,-0.11282546054452602,-0.20754952695703804,0.36238854786207586,5.9889152749231584
abrupt_change,0.93,rho_0_93,8018,0.13641587647130438,-0.061126675951525655,-0.23977807952643004,0.34616133392934056,12.305838725307439
abrupt_change,0.93,rho_0_93,8019,0.12376877726668045,-0.07937108441833818,-0.2812800054158844,0.38912822430926486,7.709660450438037
abrupt_change,0.93,rho_0_93,8020,0.053289487702172456,-0.048861998947433705,-0.19043219491344932,0.22489411620464672,15.308863816100143
abrupt_change,0.93,rho_0_93,8021,0.005703492575990676,-0.15081482767381083,-0.15877009918320306,0.23438446607250984,8.015647949911568
abrupt_change,0.93,rho_0_93,8022,0.06284201352968166,-0.09688858796181243,-0.276675076400807,0.3688897385056271,15.359764852222412
abrupt_change,0.93,rho_0_93,8023,0.008456324292048678,-0.09977149787393991,-0.24118057529118098,0.360052483487622,7.7309602708549505
abrupt_change,0.93,rho_0_93,8024,0.07823740066753537,-0.11878611135108041,-0.25203168438963364,0.3652217478122233,10.796368030678138
abrupt_change,0.93,rho_0_93,8025,0.11986578911120571,-0.10140788862132499,-0.23181493390423474,0.3134612003071253,27.066506658090418
abrupt_change,0.93,rho_0_93,8026,0.13352942642357268,-0.1304014168512655,-0.25111927775724446,0.4598837994639289,12.982099048971548
abrupt_change,0.93,rho_0_93,8027,0.10496488957901351,-0.08069294876631972,-0.24969399894384348,0.38810326866146383,17.21222353857877
abrupt_change,0.93,rho_0_93,8028,0.13389206141223653,-0.12054126306032131,-0.23881987653399078,0.3126550602263789,3.5116444600654404
abrupt_change,0.93,rho_0_93,8029,0.13259485110388514,-0.07924228367133956,-0.22144456470880747,0.3170710072103424,22.064919363267933
gradual_10,0.25,rho_0_25,8000,-0.0016767431601923954,-0.016673733909433608,-0.04116992660171892,0.12220888506532157,-15.39468753806807
gradual_10,0.25,rho_0_25,8001,0.012572563435101713,-0.10060374745335654,-0.01402545581988357,0.1081759311402366,-16.657956318874454
gradual_10,0.25,rho_0_25,8002,0.03959395989946213,-0.05481869407660778,-0.06158744982151276,0.14229960135203257,-2.093507740538456
gradual_10,0.25,rho_0_25,8003,0.013912262338018455,-0.07935857216809517,-0.0014286714420487234,0.12306502793804963,-8.572717271689925
gradual_10,0.25,rho_0_25,8004,0.035325788626361154,-0.05546661550659415,0.009256078886361263,0.061005244523394175,-24.07355445084201
gradual_10,0.25,rho_0_25,8005,-0.011697089546098827,-0.03127205561205493,-0.07472192656604948,0.13487615032551092,-9.030646789295702
gradual_10,0.25,rho_0_25,8006,-0.014400346180978185,-0.0999057391335576,0.0126065966100537,0.11846677961048835,-13.316532064272934
gradual_10,0.25,rho_0_25,8007,0.04409035140307305,-0.08833247036958891,-0.003341735323524775,0.12295316893710284,-15.437040468366263
gradual_10,0.25,rho_0_25,8008,0.04832483647629793,-0.05271270193073718,-0.009943673132122854,0.12161120850621643,-13.9389853822602
gradual_10,0.25,rho_0_25,8009,0.04494629646239179,-0.07376303814992724,-0.026466215360564038,0.12572546262234052,-3.036222181809933
gradual_10,0.25,rho_0_25,8010,-0.004054561619116881,-0.07192127425855244,-0.02412911263218387,0.0989523570170121,-6.264775014939943
gradual_10,0.25,rho_0_25,8011,0.023040743422491516,-0.1048360084017661,0.0029745631928141947,0.11394691510494459,-15.777837901244368
gradual_10,0.25,rho_0_25,8012,0.09900942854494288,-0.06690124661366958,-0.002021586949888521,0.13737181769509377,-8.305753895563527
gradual_10,0.25,rho_0_25,8013,0.07783937256446227,-0.03041658369551925,0.000304308403589193,0.14235033464253632,-10.551378686432685
gradual_10,0.25,rho_0_25,8014,0.04419603579943332,-0.07011799697122267,-0.06648200750997568,0.14103752096752364,-3.1299317291321813
